summonerId,summonerName,puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
a4-KpjbOdNoQegAsC49yYnnc64PACRyxhHoarzsARn-j4Vo7cLC0JFvWig,참치는김에,NYjlrIHIyouu70xN0RF4rxQfJtY79zi4Stp3NP14R3VBsMFWCFZfRZv26jQ3XJwOaJnJ2OIyXZVdhw,0,I,99,71,False,False,False,False
Vbti4BLNA0IDrI0ibdGRaiYykdgb7kCHg4i33HHKhmEvFAs,ibumster,jW_0fvbHmsoDlpsNqlblgbD99-Sg0iR_cGTlatvb55pfhXFJgjqnHDx9t6ABhiMpksi66VzLEJle8g,0,I,157,132,False,False,False,True
O6gCEPVtSuOBKHe6gpUFBjpgpa_GMriiKvBN9OBrsQvrv68,골든수박,xSRW-RiEpWdCEdXTfTsCLt0ldjWzNneldpvLx5s6lnJHiLz8YB-TMQg18IoQy5TnCUBUfuzG3OG5nw,0,I,62,29,False,False,False,False
zZKWV0gVqDcVCLIbDr_5Oh16Flsvr_cWChDWNWSx4Icqbw,무친 유성웅,QzPmGNUycemsM0Fu7Ik_i7K3DNr0g83bSd8Gc_f3cqqk1CryjX_sLOK9tWWQbLqsMM-1eWxlDADe1g,29,I,173,156,True,False,False,False
jy7-o6v8oQcqtKsHjc90ym8Qssz6iJkhIWepUKWwwlB4a0o96XY8kmOqZQ,0100001000101010,xH7CRQ7xsCrfvk-rcOdzty7z6hkjJwfl7n5OsEOA2ZizfWOYYdkxIWvqHhNVdBwdk6iF6r3kGAcjOw,16,I,111,83,False,False,False,False
TZIbX1uZZV2bMkwpg0XLZ96xQ2dNYZgN7bPMKczBiS6KeEU,목없는사람,fz1T_xfE5K4dmjQyAotRqXZVdSHZrFTOijSvLlCrOp3aIMOuMXFANXvSw--fLzvq0Lcp9GW005bGyQ,0,I,103,99,False,False,False,False
k_tdg1090tHa2SbGsOpxrVfA7LpQFfyGGjlHsuobfvJ9Ck5rXtOOZwIyUQ,양환영,03NdMcLkGM9tWBZDq-RzZSiQA8RrwU3EF2sr12NG-toHYCy7i3Irka_2Zx_x7txQ5e-dAlyUjsJPug,0,I,165,156,False,False,False,False
2nKJfRUu66QfN30RS8I-lOkFwV-tt_-lmIPFOEAHYAuqzZ1NaAYPZhzWlg,우리팀뽀뽀해줄게,5ZuGrhQs-XIdGJ9q75G7qSqt2byWbbFeAlh1_XVZZh36yiYVUKVi4t7qvqd0Twt0q7wvW16LvaIaGg,67,I,125,104,False,False,False,False
nj_R12GR-MLIkK6B7xwL71LkLJsISyUzQyVdB6biw7Vws0k,RotatedPikaChu,YX5xATw3rcQbpT5aLwjY_7ux_7UUTUZuUmR-Uk0t7zdc-hP7KdHuA-I2L6AsWDnZx9I-k6eYK1RzNw,137,I,145,107,False,False,False,False
mouGHX7PTEsQ_sLGcEvariAu_JiKbiIWOSpqwFX3M0_fteY,파워렉원판수집가,-uWnTJtk6Xk6he9Fx-NlS7eSPUk9YVUQ8soxndk0bymFwPzR94BHHgqqm9VxNdhLgIIKPSFawSntLA,0,I,115,102,False,False,False,False
is2HScLhwTLke71DBNaWSxl1aOKi0zwFg5VyEWKSC8nI-3M,화내면 지는게임,tVqY8_AueHp5JDgRuVteQHfzzmNLjgzq26uRGtY73cL_nZSaRGl7y4bhlBK0grg3pPEPm2QAtbST3g,204,I,203,166,False,False,False,False
BaTciVvhnHZ0Xf07hYtoz2cAerjruI7mSt_NPQcA38S2BA,락댓바디,wwHBEBUlXX61Mdmma4_KYpzFjaT-VLPB9QS5brHjULYuBrhboxujjwh-5QKpX-SfdB9rbLRiLkxfvA,97,I,100,81,False,False,True,False
